MatchNumber,HomeTeamScore,AwayTeamScore,HomeTeam,AwayTeam
1,0,2,Qatar,Equador
2,0,2,Senegal,Holanda
3,6,2,Inglaterra,Irã
4,1,1,USA,País de Gales
5,4,1,França,Australia
6,0,0,Dinamarca,Tunisia
7,0,0,Mexico,Polonia
8,1,2,Argentina,Arabia S
9,1,0,Belgica,Canada
10,7,0,Espanha,Costa Rica
11,1,2,Alemanha,Japao
12,0,0,Marrocos,Croacia
13,1,0,Suiça,Camarões
14,0,0,Uruguai,Koreia
15,3,2,Portugal,Gana
16,2,0,Brasil,Servia
17,0,2,País de Gales,irã
18,1,3,Qatar,Senegal
19,1,1,Holanda,Equador
20,0,0,Inglaterra,USA
21,0,1,Tunisia,Australia
22,2,0,Polonia,Arabia S
23,2,1,França,Dinamarca
24,2,0,Argentina,Mexico
25,0,1,Japan,Costa Rica
26,0,2,Belgica,Marrocos
27,4,1,Croacia,Canada
28,1,1,Espanha,Alemanha
29,3,3,Camarões,Servia
30,2,3,Coreia,Gana
31,1,0,Brasil,Suiça
32,2,0,Portugal,Uruguai
33,,,Equador,Senegal
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,